,구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율
0,강남구,3238,150.61919504643964,570500,565550,4950,63167,0.8676599474145487,11.07221735319895,0.5675723049956178
1,강동구,1010,166.49076517150397,453233,449019,4214,54622,0.9297646023127176,12.051637899270354,0.22284343814329496
2,강북구,831,125.20325203252033,330192,326686,3506,54813,1.0618064641178466,16.600341619421428,0.25167175461549646
3,강서구,911,134.7938144329897,603772,597248,6524,72548,1.080540336418383,12.015794041459358,0.15088477107252407
4,관악구,2109,149.29078014184398,525515,507203,18312,68082,3.4845817911953034,12.955291475980705,0.4013206093070607
5,광진구,878,53.22862129144852,372164,357211,14953,42214,4.017852344665255,11.34284885158156,0.23591749873711593
6,구로구,1884,64.97373029772329,447874,416487,31387,56833,7.007997785091343,12.68950642368166,0.42065402322974765
7,금천구,1348,100.0,255082,236353,18729,32970,7.342344814608635,12.925255408064857,0.5284575156224273
8,노원구,1566,188.929889298893,569384,565565,3819,71941,0.6707248535259157,12.634882609978504,0.27503407190929147
9,도봉구,825,246.6386554621849,348646,346629,2017,51312,0.5785237748317777,14.717507156255916,0.23662970462876384
10,동대문구,1870,74.76635514018692,369496,354079,15417,54173,4.172440297053283,14.661322450040052,0.5060947885768723
11,동작구,1302,139.33823529411765,412520,400456,12064,56013,2.924464268399108,13.578250751478716,0.31562106079705227
12,마포구,980,212.1019108280255,389649,378566,11083,48765,2.844354791106868,12.515109752623516,0.2515084088500163
13,서대문구,1254,48.5781990521327,327163,314982,12181,48161,3.723220535329484,14.720796667104777,0.3832951770218515
14,서초구,2297,63.37126600284495,450310,445994,4316,51733,0.9584508449734628,11.488308054451378,0.5100930470120584
15,성동구,1327,81.78082191780823,311244,303380,7864,39997,2.5266350515993885,12.850689491203044,0.42635360039069026
16,성북구,1651,63.62735381565907,461260,449773,11487,64692,2.490352512682652,14.025061787278323,0.35793261934700604
17,송파구,1081,104.34782608695652,667483,660584,6899,72506,1.0335843759316716,10.862598747833278,0.1619516901554047
18,양천구,2482,34.67173087357569,479978,475949,4029,52975,0.8394134731175179,11.036964194192231,0.517107034072395
19,영등포구,1277,157.97979797979798,402985,368072,34913,52413,8.663597900666279,13.006191297442832,0.3168852438676378
20,용산구,2096,53.216374269005854,244203,229456,14747,36231,6.038828351822049,14.836427070920504,0.8583023140583859
21,은평구,2108,85.23725834797891,494388,489943,4445,72334,0.899091401894868,14.631018552230232,0.4263857536995234
22,종로구,1619,248.92241379310343,162820,153589,9231,25425,5.669450927404496,15.61540351308193,0.994349588502641
23,중구,1023,147.6997578692494,133240,124312,8928,20764,6.700690483338337,15.583908736115282,0.7677874512158511
24,중랑구,916,79.96070726915521,414503,409882,4621,56774,1.114829084469835,13.696885185390698,0.22098754411910168
